indicator,indicator_family,required
Generation|Percentile 50|Electricity|Coal|Hard Coal|Coking coal|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal|Hard Coal|Coking coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal|Hard Coal|Coking coal,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal|Hard Coal|Coking coal,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Coal|Hard Coal|Coking coal,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Gases|Fossil|Natural gas|PC0,fuel_eff_emi_road,True
Final energy consumption|Transportation|Rail|Passenger|Liquids|Bio,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Bio,fuel_eff_emi_nav,False
Socio-economic|Economic|Value_add|Services,Other_inputs,False
Installed capacity|Electricity|Coal|Hard Coal|Bituminous coal|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Coal|Hard Coal|Bituminous coal|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Coal|Hard Coal|Bituminous coal|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Hard Coal|Bituminous coal|Boilers,emission_supply,False
Efficiency|Electricity|Coal|Hard Coal|Bituminous coal|Steam turbines,efficiency_supply,False
Investments|Electricity|Coal|Hard Coal|Bituminous coal|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Coal|Hard Coal|Bituminous coal|Steam turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Coal|Hard Coal|Bituminous coal|Steam turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Coal|Hard Coal|Bituminous coal|Steam turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Coal|Hard Coal|Bituminous coal|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal|Hard Coal|Bituminous coal,fuel_eff_emi_heating,False
Final energy consumption|Cooling|Space cooling|Undefined|Services,elec_eff_cooling,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal|Hard Coal|Bituminous coal,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal|Hard Coal|Bituminous coal,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Coal|Hard Coal|Bituminous coal,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Rail|Passenger|Liquids|Bio|Diesel,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Bio|Diesel,fuel_eff_emi_nav,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Bio,fuel_eff_emi_fly,False
Installed capacity|Electricity|Coal|Coal products|Steam turbines ,installed_capacity_supply,False
Generation|Yearly|Electricity|Coal|Coal products|Steam turbines ,yearly_generation_supply,False
Fuel consumption|Electricity|Coal|Coal products|Boilers ,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Coal|Coal products|Boilers ,emission_supply,False
Efficiency|Electricity|Coal|Coal products|Steam turbines ,efficiency_supply,False
Investments|Electricity|Coal|Coal products|Steam turbine based plants ,investment_supply,False
Generation|Winter peak|Electricity|Coal|Coal products|Steam turbines ,winter_peak_hourly_generation,False
Hourly prices|Electricity|Percentile 50,prc_elec,True
Hourly power consumption|Winter peak|Electricity|Heating,winter_peak_hourly_consumption,True
Hourly power consumption|Summer peak|Electricity|Heating,summer_peak_hourly_consumption,True
Generation|Summer peak|Electricity|Coal|Coal products|Steam turbines ,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Heating,percentile25_hourly_consumption,True
Generation|Percentile 25|Electricity|Coal|Coal products|Steam turbines ,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Heating,percentile50_hourly_consumption,True
Generation|Percentile 50|Electricity|Coal|Coal products|Steam turbines ,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Coal|Coal products,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Coal|Coal products| ,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Coal|Coal products,fuel_eff_emi_light_ind,False
Final energy consumption|Agriculture|Coal|Coal products,fuel_eff_emi_agr,False
